,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage,camefrom
49,WKRN News 2,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 07:26 AM CDT Updated: Sep 2, 2022 / 07:26 AM CDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 07:26 AM CDT Updated : Sep 2 , 2022 / 07:26 AM CDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.wkrn.com/entertainment-news/ap-entertainment/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
50,,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 06:51 AM MDT Updated: Sep 2, 2022 / 06:51 AM MDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 06:51 AM MDT Updated : Sep 2 , 2022 / 06:51 AM MDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.krqe.com/entertainment-news/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
51,KOIN.com,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 05:27 AM PDT Updated: Sep 2, 2022 / 05:27 AM PDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 05:27 AM PDT Updated : Sep 2 , 2022 / 05:27 AM PDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.koin.com/entertainment-news/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
52,WITN Web Team,2022-09-02,Elizabeth City police searching for man wanted for murder,"ELIZABETH CITY, N.C. (WITN) - Elizabeth City police have announced warrants for a man wanted for a murder last week.Police said that warrants for first degree murder and assault with a deadly weapon with intent to kill inflicting serious injury were obtained this past Monday for James Felton, Jr., 38, of Elizabeth City. Investigators believe Felton is responsible for killing Marcus Moore, 29, of Elizabeth City, back on August 27th. Moore was found dead in the on the 500 block of White Street. Felton should be considered armed and dangerous.",Elizabeth City police searching man wanted murder,"ELIZABETH CITY , N.C. ( WITN ) - Elizabeth City police announced warrants man wanted murder last week.Police said warrants first degree murder assault deadly weapon intent kill inflicting serious injury obtained past Monday James Felton , Jr. , 38 , Elizabeth City . Investigators believe Felton responsible killing Marcus Moore , 29 , Elizabeth City , back August 27th . Moore found dead 500 block White Street . Felton considered armed dangerous .",English,https://www.witn.com/2022/09/02/elizabeth-city-police-searching-man-wanted-murder/,,Unknown,Unknown,False,newsCatcher
53,CBS17.com,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 08:26 AM EDT Updated: Sep 2, 2022 / 08:26 AM EDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 08:26 AM EDT Updated : Sep 2 , 2022 / 08:26 AM EDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.cbs17.com/entertainment-news/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
54,WTNH.com,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 08:25 AM EDT Updated: Sep 2, 2022 / 08:25 AM EDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 08:25 AM EDT Updated : Sep 2 , 2022 / 08:25 AM EDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.wtnh.com/entertainment-news/ap-entertainment/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
55,Fox 59,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 08:24 AM EDT Updated: Sep 2, 2022 / 08:24 AM EDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 08:24 AM EDT Updated : Sep 2 , 2022 / 08:24 AM EDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://fox59.com/news/entertainment/ap-entertainment/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
56,WREG.com,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 07:26 AM CDT Updated: Sep 2, 2022 / 07:26 AM CDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 07:26 AM CDT Updated : Sep 2 , 2022 / 07:26 AM CDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://wreg.com/entertainment-news/ap-entertainment/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
57,ABC4 Utah,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 06:24 AM MDT Updated: Sep 2, 2022 / 06:24 AM MDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 06:24 AM MDT Updated : Sep 2 , 2022 / 06:24 AM MDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.abc4.com/news/entertainment-news/ap-entertainment/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
58,Wahyu Setyo Widodo,2022-09-04,Ratu Elizabeth II yang Selalu Bawa Stok Darah dan Baju Hitam Saat Traveling,"London - Ratu Elizabeth II telah berpulang di umur 96 tahun. Selama menjabat sebagai Ratu Inggris, ternyata dia selalu berpergian keliling dunia membawa stok darah dan baju hitam. Buat apa?Ratu Elizabeth II dikenal sebagai kepala negara yang paling banyak persiapan sebelum bepergian melakukan kunjungan ke beberapa negara. Salah satu barang yang tidak boleh lupa dibawa oleh sang ratu adalah stok darah.Ya, ketika melakukan kunjungan ke berbagai negara, Ratu Elizabeth II selalu membawa persediaan darah dalam kantong-kantong yang siap untuk ditransfusikan.",Ratu Elizabeth II yang Selalu Bawa Stok Darah dan Baju Hitam Saat Traveling,"London - Ratu Elizabeth II telah berpulang di umur 96 tahun . Selama menjabat sebagai Ratu Inggris , ternyata dia selalu berpergian keliling dunia membawa stok darah dan baju hitam . Buat apa ? Ratu Elizabeth II dikenal sebagai kepala negara yang paling banyak persiapan sebelum bepergian melakukan kunjungan ke beberapa negara . Salah satu barang yang tidak boleh lupa dibawa oleh sang ratu adalah stok darah.Ya , ketika melakukan kunjungan ke berbagai negara , Ratu Elizabeth II selalu membawa persediaan darah dalam kantong-kantong yang siap untuk ditransfusikan .",English,https://travel.detik.com/travel-news/d-6281472/ratu-elizabeth-ii-yang-selalu-bawa-stok-darah-dan-baju-hitam-saat-traveling,,Unknown,Unknown,False,newsCatcher
59,WSPA 7NEWS,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 08:36 AM EDT Updated: Sep 2, 2022 / 08:36 AM EDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 08:36 AM EDT Updated : Sep 2 , 2022 / 08:36 AM EDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.wspa.com/entertainment-news/ap-entertainment/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
60,Báo điện tử VOV,2022-09-04,Những thứ đáng ngạc nhiên thuộc sở hữu của Nữ hoàng Anh Elizabeth II,"Nhảy đến nội dung
 
Nữ hoàng Anh Elizabeth II sở hữu tất cả cá heo, cá tầm và cá voi ở Vương quốc Anh. Điều này bắt nguồn từ một đạo luật được ban hành dưới thời Vua Edward II vào năm 1324 và vẫn còn được duy trì cho tới ngày nay. 
Nữ hoàng Elizabeth II sở hữu 6 kỷ lục Guinness thế giới, đó là Nữ hoàng Anh lớn tuổi nhất, Quốc vương sống thọ nhất thế giới, Nữ hoàng trị vì lâu nhất thế giới, người trị vị một triều đại lâu nhất, kỷ lục được in chân dung lên nhiều loại tiền tệ nhất và nữ hoàng sở hữu khối tài sản lớn nhất thế giới.",Những thứ đáng ngạc nhiên thuộc sở hữu của Nữ hoàng Anh Elizabeth II,"Nhảy đến nội dung Nữ hoàng Anh Elizabeth II sở hữu tất cả cá heo , cá tầm và cá voi ở Vương quốc Anh . Điều này bắt nguồn từ một đạo luật được ban hành dưới thời Vua Edward II vào năm 1324 và vẫn còn được duy trì cho tới ngày nay . Nữ hoàng Elizabeth II sở hữu 6 kỷ lục Guinness thế giới , đó là Nữ hoàng Anh lớn tuổi nhất , Quốc vương sống thọ nhất thế giới , Nữ hoàng trị vì lâu nhất thế giới , người trị vị một triều đại lâu nhất , kỷ lục được chân dung lên nhiều loại tiền tệ nhất và nữ hoàng sở hữu khối tài sản lớn nhất thế giới .",English,https://vov.vn/the-gioi/cuoc-song-do-day/nhung-thu-dang-ngac-nhien-thuoc-so-huu-cua-nu-hoang-anh-elizabeth-ii-post967008.vov,,Unknown,Unknown,False,newsCatcher
61,WRIC ABC 8News,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 08:27 AM EDT Updated: Sep 2, 2022 / 08:27 AM EDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 08:27 AM EDT Updated : Sep 2 , 2022 / 08:27 AM EDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.wric.com/entertainment-news/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
62,KXAN Austin,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 07:25 AM CDT Updated: Sep 2, 2022 / 07:25 AM CDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 07:25 AM CDT Updated : Sep 2 , 2022 / 07:25 AM CDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.kxan.com/entertainment-news/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
63,News 4 Buffalo,2022-09-02,Queen Elizabeth II to skip Highland Games event in Scotland,"FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee. Queen Elizabeth II will skip the Braemar Gathering, a popular Highland Games event, as she struggles with issues getting around. (AP Photo/Frank Augstein, Pool, File) Posted: Sep 2, 2022 / 08:41 AM EDT Updated: Sep 2, 2022 / 08:41 AM EDT 
 FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last… FILE – Queen Elizabeth II stands on the balcony during the Platinum Jubilee Pageant at the Buckingham Palace in London, Sunday, June 5, 2022, on the last of four days of celebrations to mark the Platinum Jubilee.",Queen Elizabeth II skip Highland Games event Scotland,"FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee . Queen Elizabeth II skip Braemar Gathering , popular Highland Games event , struggles issues getting around . ( AP Photo/Frank Augstein , Pool , File ) Posted : Sep 2 , 2022 / 08:41 AM EDT Updated : Sep 2 , 2022 / 08:41 AM EDT FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last… FILE – Queen Elizabeth II stands balcony Platinum Jubilee Pageant Buckingham Palace London , Sunday , June 5 , 2022 , last four days celebrations mark Platinum Jubilee .",English,https://www.wivb.com/entertainment-news/ap-queen-elizabeth-ii-to-skip-highland-games-event-in-scotland/,,Unknown,Unknown,False,newsCatcher
